dest,symbol,name,address,origin,sourceAddress,coingeckoId,logo,serumV3Usdc,serumV3Usdt
sol,USDCet,USD Coin (Wormhole from Ethereum),A9mUU4qviSctJVPJdBJWkb28deg915LYJKrzQ19ji3FM,eth,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,,
sol,USDK,USDK (Wormhole),43m2ewFV5nDepieFjT9EmAQnc1HRtAF247RBpLGFem5F,eth,0x1c48f86ae57291f7686349f12601910bd8d470bb,usdk,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/43m2ewFV5nDepieFjT9EmAQnc1HRtAF247RBpLGFem5F/logo.png,,
sol,USDTet,Tether USD (Wormhole from Ethereum),Dn4noZ5jgGfkntzcQSUZ8czkreiZ1ForXYoV2H8Dm7S1,eth,0xdac17f958d2ee523a2206206994597c13d831ec7,tether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,,
sol,WBTC,Wrapped BTC (Wormhole),3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,eth,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,wrapped-bitcoin,https://etherscan.io/token/images/wbtc_28.png?v=1,,
sol,YFI,yearn.finance (Wormhole from Ethereum),BXZX2JRJFjvKazM1ibeDFxgAngKExb74MRXzXKvgikxX,eth,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,yearn-finance,,BiJXGFc1c4gyPpv9HLRJoKbZewWQrTCHGuxYKjYMQJpC,9sue9TZAeUhNtNAPPGb9dke7rkJeXktGD3u8ZC37GWnQ
sol,agEUR,agEUR (Wormhole),CbNYA9n3927uXUukee2Hf4tm3xxkffJPPZvGazc2EAH1,eth,0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8,ageur,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/CbNYA9n3927uXUukee2Hf4tm3xxkffJPPZvGazc2EAH1/logo.svg,,
sol,gOHM,Governance OHM (Wormhole),FUGsN8H74WjRBBMfQWcf9Kk32gebA9VnNaGxqwcVvUW7,eth,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,governance-ohm,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FUGsN8H74WjRBBMfQWcf9Kk32gebA9VnNaGxqwcVvUW7/logo.png,,
sol,ibBTC,Interest Bearing Bitcoin (Wormhole),Bzq68gAVedKqQkQbsM28yQ4LYpc2VComDUD9wJBywdTi,eth,0xc4e15973e6ff2a35cc804c2cf9d2a1b817a8b40f,interest-bearing-bitcoin,https://etherscan.io/token/images/badgeribtc_32.png,,
sol,stETH,Lido Staked Ether (Wormhole),H2mf9QNdU2Niq6QR7367Ua2trBsvscLyX5bz7R3Pw5sE,eth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,lido-staked-ether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/H2mf9QNdU2Niq6QR7367Ua2trBsvscLyX5bz7R3Pw5sE/logo.png,,
sol,ALEPH,Aleph.im (Wormhole),3UCMiSnkcnkPE1pgQ5ggPCBv6dXgVUy16TmMUe1WpG9x,eth,0x27702a26126e0B3702af63Ee09aC4d1A084EF628,aleph-im,,Fw4mvuE7KZmTjQPxP2sRpHwPDfRMWnKBupFZGyW9CAQH,GZeHR8uCTVoHVDZFRVXTgm386DK1EKehy9yMS3BFChcL
sol,ALICE,My Neighbor Alice (Wormhole),9ARQsBfAn65q522cEqSJuse3cLhA31jgWDBGQHeiq7Mg,eth,0xac51066d7bec65dc4589368da368b212745d63e8,my-neighbor-alice,,,
sol,AMP,Amp (Wormhole),D559HwgjYGDYsXpmFUKxhFTEwutvS9sya1kXiyCVogCV,eth,0xff20817765cb7f73d4bde2e66e067e58d11095c2,amp,,,
sol,AMPL,Ampleforth (Wormhole),EHKQvJGu48ydKA4d3RivrkNyTJTkSdoS32UafxSX1yak,eth,0xd46ba6d942050d489dbd938a2c909a5d5039a161,ampleforth,,,
sol,ANKR,Ankr Network (Wormhole),Gq2norJ1kBemBp3mPfkgAUMhMMmnFmY4zEyi26tRcxFB,eth,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,ankr-network,,,
sol,AUDIO,Audius (Wormhole),9LzCMqDgTKYz9Drzqnpgee3SGa89up3a247ypMj2xrqM,eth,0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998,audius,,,
sol,BAT,Basic Attention Token (Wormhole),EPeUFDgHRxs9xxEPVaL6kfGQvCon7jmAWKVUHuux1Tpz,eth,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,basic-attention-token,,,
sol,BNT,Bancor (Wormhole),EDVVEYW4fPJ6vKw5LZXRGUSPzxoHrv6eWvTqhCr8oShs,eth,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,bancor-network,,,
sol,CEL,Celsius (Wormhole),nRtfwU9G82CSHhHGJNxFhtn7FLvWP2rqvQvje1WtL69,eth,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,celsius-network-token,,79ESpYSb2hM14KTRXPZUwDkxUGC5irE2esd1vxdXfnZz,J9ww1yufRNDDbUbDXmew2mW2ozkx7cme7dMvKjMQVHrL
sol,CHZ,Chiliz (Wormhole),5TtSKAamFq88grN1QGrEaZ1AjjyciqnCya1aiMhAgFvG,eth,0x3506424f91fd33084466f402d5d97f05f8e3b4af,chiliz,,,
sol,COMP,Compound (Wormhole),AwEauVaTMQRB71WeDnwf1DWSBxaMKjEPuxyLr1uixFom,eth,0xc00e94Cb662C3520282E6f5717214004A7f26888,compound-governance-token,,CU5L8JC83hyYZdf1phzy6a7X58eTtPjs7mHL3QKCcLfh,9gA6T3HRCMTVTULte5pJsXjMDUGRtygTKLbMny6eRcyM
sol,CRO,Crypto.com Coin (Wormhole),DvjMYMVeXgKxaixGKpzQThLoG98nc7HSU7eanzsdCboA,eth,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,crypto-com-coin,,,
